Year,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,EU27
2023,104.1,85.3,130.8,127.2,100.4,136.3,73.3,134.5,60.9,96.8,113,112.7,127.6,97.6,120.1,132.1,129.9,106.8,91.5,74.2,134.8,89.8,115.8,137.6,123.9,117.5,61,107.8
2022,112,104.5,134.3,127.3,136.8,137.7,86.3,141.6,85.3,103.1,105.9,118,131.2,100.7,119.2,134.6,135.9,115.7,91.4,86.8,135.7,103.1,119.7,136.8,129.1,121.5,66.6,109.8
2021,116.1,117,139.5,127.9,145.9,138.8,92.3,142.6,98.3,108.6,113.5,119.8,133.1,112.6,120.3,142.6,135.7,123.8,107.5,95.1,137.6,107.1,125.6,138,133.7,126,88.3,115.7
2020,135.7,130.6,147.1,135.2,151.9,144.9,116.4,147.6,120,121.1,136,130.5,141.4,130,132.5,146.8,146.2,143.9,128.1,104.4,146,118,138.5,144.6,138.6,135.5,111.7,130.8
2019,152.1,147.3,157.8,144.7,153.6,156,135.6,157.7,139.7,137.9,159,140.1,157.2,137.9,144.7,155,160,161.2,132.2,119.3,158,132.6,150.7,158,150,147,145.1,148
2018,149.1,144.7,153.6,139.7,149.6,152.7,132.8,160.5,141.4,136,157,135,155,137.3,140.5,156.1,155.9,159.3,130.5,127.9,157.3,128.6,147.3,154.7,146.5,143.1,148.1,145.6
2017,146.3,140.5,153,137.1,148.1,150.4,129.8,161,143.3,133.8,154.2,131.9,152.2,135.3,137.3,156.1,154.4,153.9,134.5,131.3,154.7,126.9,146.2,152.8,145,139.4,148.2,143
2016,120.4,115.9,125.8,111.5,123.5,121.2,106,133.9,120,109.8,126.9,106.3,125.9,112,113.3,128.9,126.2,126.1,111.8,105.9,125.8,104.7,122,124.8,119,114.4,123.1,117.6
2015,123.7,117.9,130.3,112.8,125.7,126.3,106.2,137.2,123,111,128.3,106.4,129.6,114.1,115.2,137.1,130,127.5,113.3,101.2,129.3,105.7,125,127.6,119.2,115.3,126.3,119.1
2014,128.5,121.3,135.9,115.8,129.8,131.6,110.2,140.9,127.4,114.2,132.5,108.2,133,117.1,118.1,140.4,135.8,129.9,115.3,107.3,132.9,108.8,128.2,131.7,121.3,118.6,131,123.1
2013,131.6,124,141.7,127.1,139.2,134.6,112.7,147,131.8,117.4,136.1,111.9,134.4,120.7,121.1,147.1,139.8,133.4,118.7,109.1,138.1,112.2,132.1,135.1,125.6,122.4,133.2,126.4
2012,135.7,128,149.2,119.8381818,144.3,140.8,117,150.3,139.1,124.4,141.6,121.1,140.8,125.1,126.2,152,144.2,137,121.5,118.6,141.3,117.6,139,141,133.4,128.7,135.9,132
2011,138.7,127.2,151.4,118.5036364,149.9,144.5,125,156.9,144,127.7,145.6,132.7,141.6,128.3,129.6,154.4,144.4,142.2,124.7,126.1,144.5,122.8,140.7,144.9,139.7,133.8,141.8,135.3
2010,144,133.4,158.9,117.1690909,155.8,148.9,126.2,162,149,130.5,151.1,143.7,147.4,133.2,132.7,162,150.9,146,131.2,135.8,146.2,127.2,148.5,149,144.4,137.9,151.3,139.6
2009,150.2,142.1,172.1,115.8345455,160.7,155.5,139.1,170.3,157,133.5,154,157.4,153.4,144.4,136.3,176.9,166,152.5,135.7,146.9,151.6,133.8,157,146.6,152,142.2,164.5,145
2008,158.1,147.8,171.5,114.5,165.6,154.4,146.4,177.4,162.9,140.1,164.8,160.8,153.4,156.8,144.7,180.6,170.1,159.5,146.9,156.7,153.1,138.2,156,150.4,155.9,148.2,173.9,152.8
2007,162.9,152.8,171.6,113.1654545,170.3,154.2,159.8,181.6,177.3,149.4,169.5,165.3,155,161.6,146.5,183.5,176.5,165.8,147.8,164.8,153.7,144.2,154.8,152.7,156.3,153.2,181.4,157.5
2006,163.7,153.9,165.9286765,111.8309091,170.1,154.2,162.5,182.7,179.2,149.9,172.5,166.5,154.6,166.3,149.2,183.1,163.4,168.2,145.9,166.7,155.9,145,153.8941176,152,155.3,155.6,188.6,149.9272059
2005,162.1,155.2,167.8651961,110.4963636,173,155.3,163.7,183.7,179.5,152.3,173.4,167.4,156.3,166.8,149.5,187.2,186.3,168.6,150.5,169.9,155.2,144.9,155.6529412,157.4,157.2,155.3,193.8,151.8857843
2004,161.9,156.5,169.8017157,109.1618182,173.4,154,165.9,179,179.8,153.1,174.9,168.8,158.5,167.6,150,192.4,187.5,169.7,148.8,171,154.1,147.1,157.4117647,150.5438596,152.7,155.3,197.2,153.8443627
2003,163.8,158.1,171.7382353,107.8272727,172.7557895,153.6742105,169,181.7121053,178.3,155,175.9,168.9,156.2126316,166.7,152.9,187.5515789,176.2368421,173.5,151.68,173.5,153.5226316,149.9,159.1705882,151.1998246,154.4631579,157,198.5,155.8029412
2002,164.4,161.1,173.6747549,106.4927273,175.0772932,154.5369925,170,184.0256391,177.2,156.8,177.4,167.8,157.3681203,164.3,156.6,190.4188722,178.5493985,173.8,154.0885714,172.4,154.3066917,154,160.9294118,151.8557895,155.8463158,156.4,198.2,157.7615196
2001,165.6,163.7,175.6112745,105.1581818,177.398797,155.3997744,172.9,186.3391729,178.1,159.8,179.5,166.5,158.523609,166.6,158.3,193.2861654,180.8619549,177,156.4971429,174,155.0907519,161.6,162.6882353,152.5117544,157.2294737,156.8,200.2,159.720098
2000,168,166.5,177.5477941,103.8236364,179.7203008,156.2625564,175.7,188.6527068,181.1,163.6,182.2,180.3,159.6790977,161.3,155.1,196.1534586,183.1745113,176.7,158.9057143,174.2,155.874812,169.2,164.4470588,153.1677193,158.6126316,159.2,200,161.6786765
